config	prog	binary	n_tok	engine_s	tok_s	embed_s	qkv_s	attn_s	out_s	ffn_s	head_s	misc_s	embed_pct	qkv_pct	attn_pct	out_pct	ffn_pct	head_pct	misc_pct	proj_s	proj_pct
default	collatz	transformer_naive_prof	24071	1.2400	19473.0000	0.0030	0.2760	0.4200	0.1060	0.3440	0.0780	0.0100	0.2000	22.3000	33.9000	8.6000	27.8000	6.3000	0.8000	0.7250	58.7000
default	collatz	transformer_blas_prof	24071	0.8100	29655.0000	0.0020	0.1130	0.4090	0.0490	0.1510	0.0770	0.0100	0.3000	13.9000	50.4000	6.0000	18.6000	9.5000	1.3000	0.3120	38.5000
default	collatz	transformer_sparse_prof	24071	0.6100	39337.0000	0.0030	0.0250	0.4180	0.0200	0.0380	0.0990	0.0100	0.5000	4.1000	68.2000	3.2000	6.2000	16.1000	1.6000	0.0830	13.6000
default	min_cost_matching	transformer_naive_prof	35688	1.8000	19796.0000	0.0040	0.4130	0.6240	0.1560	0.5130	0.0780	0.0150	0.2000	22.9000	34.6000	8.6000	28.5000	4.3000	0.8000	1.0820	60.0000
default	min_cost_matching	transformer_blas_prof	35688	1.1700	30457.0000	0.0040	0.1660	0.6150	0.0720	0.2220	0.0780	0.0150	0.4000	14.2000	52.5000	6.2000	18.9000	6.6000	1.3000	0.4600	39.3000
default	min_cost_matching	transformer_sparse_prof	35688	0.8900	40068.0000	0.0050	0.0400	0.6430	0.0300	0.0610	0.0980	0.0140	0.5000	4.4000	72.2000	3.4000	6.8000	11.0000	1.6000	0.1310	14.7000
no_reuse	collatz	transformer_naive_prof	24071	4.8700	4943.0000	0.0110	2.1620	1.1090	0.7420	0.7490	0.0850	0.0130	0.2000	44.4000	22.8000	15.2000	15.4000	1.7000	0.3000	3.6520	75.0000
no_reuse	collatz	transformer_blas_prof	24071	3.5200	6835.0000	0.0080	1.3670	1.0650	0.4970	0.4880	0.0840	0.0120	0.2000	38.8000	30.2000	14.1000	13.9000	2.4000	0.4000	2.3530	66.8000
no_reuse	collatz	transformer_sparse_prof	24071	1.0800	22383.0000	0.0040	0.0500	0.8290	0.0310	0.0450	0.1070	0.0110	0.3000	4.6000	77.1000	2.9000	4.2000	9.9000	1.0000	0.1250	11.7000
no_reuse	min_cost_matching	transformer_naive_prof	35688	7.2500	4922.0000	0.0160	3.1740	1.7720	1.0830	1.1010	0.0860	0.0190	0.2000	43.8000	24.4000	14.9000	15.2000	1.2000	0.3000	5.3580	73.9000
no_reuse	min_cost_matching	transformer_blas_prof	35688	5.0800	7019.0000	0.0110	1.9990	1.5760	0.7270	0.6720	0.0810	0.0190	0.2000	39.3000	31.0000	14.3000	13.2000	1.6000	0.4000	3.3980	66.8000
no_reuse	min_cost_matching	transformer_sparse_prof	35688	1.5600	22904.0000	0.0050	0.0690	1.2690	0.0420	0.0600	0.0990	0.0140	0.3000	4.4000	81.4000	2.7000	3.9000	6.3000	0.9000	0.1720	11.0000
max_ffn_32	collatz	transformer_naive_prof	24071	1.1900	20245.0000	0.0020	0.2720	0.4070	0.1030	0.3180	0.0760	0.0100	0.2000	22.9000	34.3000	8.7000	26.7000	6.4000	0.8000	0.6930	58.3000
max_ffn_32	collatz	transformer_blas_prof	24071	0.7900	30550.0000	0.0020	0.1140	0.4060	0.0490	0.1290	0.0780	0.0100	0.3000	14.4000	51.5000	6.2000	16.3000	9.9000	1.3000	0.2910	37.0000
max_ffn_32	collatz	transformer_sparse_prof	24071	0.6000	39822.0000	0.0020	0.0240	0.4200	0.0180	0.0350	0.0950	0.0100	0.3000	3.9000	69.6000	3.0000	5.9000	15.7000	1.6000	0.0770	12.8000
max_ffn_32	min_cost_matching	transformer_naive_prof	35688	1.8300	19542.0000	0.0040	0.4090	0.6880	0.1540	0.4790	0.0770	0.0150	0.2000	22.4000	37.7000	8.4000	26.2000	4.2000	0.8000	1.0420	57.1000
max_ffn_32	min_cost_matching	transformer_blas_prof	35688	1.1200	31764.0000	0.0040	0.1630	0.6080	0.0700	0.1870	0.0780	0.0150	0.3000	14.5000	54.1000	6.2000	16.6000	6.9000	1.4000	0.4190	37.3000
max_ffn_32	min_cost_matching	transformer_sparse_prof	35688	0.8300	42904.0000	0.0030	0.0350	0.6050	0.0270	0.0530	0.0950	0.0140	0.4000	4.2000	72.7000	3.3000	6.3000	11.4000	1.7000	0.1150	13.8000
