layer	projection	rows	cols	nnz	total	sparsity
0	qkv	294	98	50	28812	0.998265
0	out	98	98	9	9604	0.999063
0	fi	64	98	27	6272	0.995695
0	fo	98	32	8	3136	0.997449
1	qkv	294	98	9	28812	0.999688
1	out	98	98	3	9604	0.999688
1	fi	64	98	12	6272	0.998087
1	fo	98	32	5	3136	0.998406
2	qkv	294	98	65	28812	0.997744
2	out	98	98	10	9604	0.998959
2	fi	64	98	69	6272	0.988999
2	fo	98	32	16	3136	0.994898
3	qkv	294	98	68	28812	0.997640
3	out	98	98	10	9604	0.998959
3	fi	64	98	69	6272	0.988999
3	fo	98	32	17	3136	0.994579
4	qkv	294	98	53	28812	0.998160
4	out	98	98	7	9604	0.999271
4	fi	64	98	73	6272	0.988361
4	fo	98	32	17	3136	0.994579
5	qkv	294	98	0	28812	1.000000
5	out	98	98	0	9604	1.000000
5	fi	64	98	176	6272	0.971939
5	fo	98	32	33	3136	0.989477
6	qkv	294	98	0	28812	1.000000
6	out	98	98	0	9604	1.000000
6	fi	64	98	71	6272	0.988680
6	fo	98	32	16	3136	0.994898
